ntor	|An|^2	Re[An]	Im[An]	Ntor
-92	4.03376E-006	-0.00144877	0.00139098	-36.8
-91	3.66559E-006	-0.00103835	0.00160855	-36.4
-90	3.36324E-006	-0.000613458	0.00172827	-36
-89	3.10673E-006	-0.000204558	0.00175068	-35.6
-88	2.86453E-006	0.000158464	0.00168506	-35.2
-87	2.60114E-006	0.00044867	0.00154914	-34.8
-86	2.28754E-006	0.000644375	0.00136833	-34.4
-85	1.91336E-006	0.000731209	0.00117418	-34
-84	1.50015E-006	0.000703772	0.00100242	-33.6
-83	1.11428E-006	0.000566755	0.000890544	-33.2
-82	8.78208E-007	0.00033541	0.000875047	-32.8
-81	9.78694E-007	3.53121E-005	0.000988659	-32.4
-80	1.67066E-006	-0.000298615	0.00125757	-32
-79	3.27557E-006	-0.000623782	0.00169896	-31.6
-78	6.1736E-006	-0.000892255	0.00231894	-31.2
-77	1.07892E-005	-0.0010536	0.00311114	-30.8
-76	1.75704E-005	-0.00105806	0.00405597	-30.4
-75	2.69618E-005	-0.000859953	0.00512077	-30
-74	3.93738E-005	-0.000420988	0.00626072	-29.6
-73	5.51485E-005	0.00028666	0.00742067	-29.2
-72	7.45252E-005	0.00127772	0.00853772	-28.8
-71	9.76068E-005	0.00255186	0.00954436	-28.4
-70	0.000124332	0.00409252	0.0103722	-28
-69	0.000154452	0.00586665	0.010956	-27.6
-68	0.000187519	0.00782544	0.0112375	-27.2
-67	0.000222882	0.00990602	0.0111693	-26.8
-66	0.000259699	0.012034	0.0107182	-26.4
-65	0.000296956	0.0141271	0.00986813	-26
-64	0.000333505	0.0160989	0.00862151	-25.6
-63	0.000368108	0.0178634	0.00700062	-25.2
-62	0.000399493	0.0193396	0.00504712	-24.8
-61	0.000426414	0.0204562	0.00282082	-24.4
-60	0.000447719	0.0211556	0.000397307	-24
-59	0.000462413	0.0213975	-0.00213543	-23.6
-58	0.000469715	0.0211613	-0.00468111	-23.2
-57	0.000469116	0.0204484	-0.00713986	-22.8
-56	0.000460413	0.0192822	-0.00941332	-22.4
-55	0.000443737	0.0177075	-0.0114097	-22
-54	0.00041956	0.0157891	-0.0130486	-21.6
-53	0.00038868	0.013608	-0.0142654	-21.2
-52	0.000352197	0.0112585	-0.0150148	-20.8
-51	0.000311465	0.00884252	-0.0152733	-20.4
-50	0.000268023	0.00646501	-0.0150408	-20
-49	0.000223527	0.00422834	-0.0143404	-19.6
-48	0.000179664	0.00222697	-0.0132176	-19.2
-47	0.000138063	0.000542529	-0.0117375	-18.8
-46	0.000100217	-0.000760434	-0.0099819	-18.4
-45	6.73946E-005	-0.00163779	-0.00804439	-18
-44	4.05837E-005	-0.00206804	-0.00602552	-17.6
-43	2.04347E-005	-0.00205324	-0.00402727	-17.2
-42	7.23189E-006	-0.00161863	-0.00214754	-16.8
-41	8.83136E-007	-0.000810952	-0.000474861	-16.4
-40	9.32432E-007	0.000304409	0.000916388	-16
-39	6.59422E-006	0.0016474	0.00196985	-15.6
-38	1.68074E-005	0.00312804	0.00265005	-15.2
-37	3.03056E-005	0.00465168	0.00294406	-14.8
-36	4.57001E-005	0.00612456	0.00286179	-14.4
-35	6.15691E-005	0.00745922	0.00243497	-14
-34	7.65481E-005	0.00857948	0.00171486	-13.6
-33	8.94164E-005	0.00942472	0.00076882	-13.2
-32	9.91721E-005	0.00995325	-0.000324044	-12.8
-31	0.000105093	0.0101444	-0.0014779	-12.4
-30	0.000106776	0.00999937	-0.00260556	-12
-29	0.00010416	0.00954083	-0.00362388	-11.6
-28	9.75162E-005	0.00881104	-0.0044589	-11.2
-27	8.74246E-005	0.00786887	-0.0050503	-10.8
-26	7.47241E-005	0.00678583	-0.00535505	-10.4
-25	6.04457E-005	0.00564133	-0.00534987	-10
-24	4.57332E-005	0.00451739	-0.00503254	-9.6
-23	3.17551E-005	0.00349332	-0.00442174	-9.2
-22	1.96156E-005	0.00264057	-0.0035557	-8.8
-21	1.02699E-005	0.00201802	-0.00248947	-8.4
-20	4.45009E-006	0.0016682	-0.0012912	-8
-19	2.60797E-006	0.00161448	-3.75629E-005	-7.6
-18	4.87727E-006	0.00185952	0.0011914	-7.2
-17	1.10603E-005	0.00238507	0.00231769	-6.8
-16	2.06388E-005	0.00315311	0.00327059	-6.4
-15	3.28103E-005	0.00410829	0.00399152	-6
-14	4.65458E-005	0.00518154	0.00443818	-5.6
-13	6.06673E-005	0.00629459	0.00458753	-5.2
-12	7.39388E-005	0.00736513	0.00443776	-4.8
-11	8.51649E-005	0.00831235	0.00400871	-4.4
-10	9.32907E-005	0.00906245	0.00334106	-4
-9	9.74948E-005	0.00955378	0.00249401	-3.6
-8	9.72702E-005	0.0097413	0.00154187	-3.2
-7	9.24861E-005	0.0096001	0.000569472	-2.8
-6	8.34252E-005	0.00912766	-0.000333072	-2.4
-5	7.07939E-005	0.00834481	-0.00107614	-2
-4	5.57045E-005	0.00729516	-0.00157644	-1.6
-3	3.96267E-005	0.00604317	-0.00176261	-1.2
-2	2.43138E-005	0.00467084	-0.00158022	-0.8
-1	1.17058E-005	0.00327323	-0.00099585	-0.4
0	3.8147E-006	0.00195312	1.10655E-018	0
1	2.60018E-006	0.000815007	0.00139138	0.4
2	9.84151E-006	-4.11486E-005	0.00313685	0.8
3	2.70151E-005	-0.000525998	0.00517092	1.2
4	5.51849E-005	-0.000566472	0.00740702	1.6
5	9.49123E-005	-0.000110601	0.00974167	2
6	0.000146193	0.00086878	0.0120598	2.4
7	0.000208424	0.00237166	0.0142408	2.8
8	0.000280404	0.00436997	0.016165	3.2
9	0.000360368	0.00680832	0.0177205	3.6
10	0.000446053	0.0096062	0.0188089	4
11	0.000534797	0.0126617	0.0193515	4.4
12	0.000623657	0.0158563	0.0192934	4.8
13	0.00070955	0.0190609	0.0186073	5.2
14	0.0007894	0.0221423	0.017295	5.6
15	0.000860285	0.0249699	0.0153879	6
16	0.000919585	0.0274225	0.0129457	6.4
17	0.000965104	0.0293944	0.0100535	6.8
18	0.000995181	0.030801	0.00681777	7.2
19	0.00100876	0.0315827	0.00336098	7.6
20	0.00100546	0.0317084	-0.000184584	8
21	0.000985535	0.0311764	-0.00368341	8.4
22	0.000949914	0.0300144	-0.00700355	8.8
23	0.000900103	0.0282779	-0.0100231	9.2
24	0.000838118	0.0260469	-0.0126363	9.6
25	0.000766372	0.0234216	-0.0147581	10
26	0.000687552	0.0205167	-0.0163284	10.4
27	0.000604481	0.0174557	-0.0173141	10.8
28	0.000519988	0.0143642	-0.0177104	11.2
29	0.000436767	0.0113633	-0.0175397	11.6
30	0.000357267	0.00856424	-0.01685	12
31	0.000283587	0.00606229	-0.015711	12.4
32	0.000217399	0.00393295	-0.0142102	12.8
33	0.000159901	0.00222868	-0.0124473	13.2
34	0.000111795	0.00097717	-0.010528	13.6
35	7.32894E-005	0.000181057	-0.00855901	14
36	4.41383E-005	-0.000181005	-0.0066412	14.4
37	2.36919E-005	-0.000151924	-0.00486506	14.8
38	1.0972E-005	0.000207363	-0.00330591	15.2
39	4.75878E-006	0.000822323	-0.00202054	15.6
40	3.68364E-006	0.00160987	-0.00104497	16
41	6.32367E-006	0.00248371	-0.000393513	16.4
42	1.12907E-005	0.00335964	-5.9171E-005	16.8
43	1.73104E-005	0.00416055	-1.52442E-005	17.2
44	2.32869E-005	0.00482072	-0.000218097	17.6
45	2.83505E-005	0.00528936	-0.000610817	18
46	3.18854E-005	0.00553299	-0.00112755	18.4
47	3.35392E-005	0.00553672	-0.00169821	18.8
48	3.32129E-005	0.00530431	-0.00225327	19.2
49	3.10345E-005	0.00485702	-0.00272835	19.6
50	2.73198E-005	0.00423146	-0.00306831	20
51	2.25227E-005	0.00347648	-0.0032306	20.4
52	1.71806E-005	0.00264938	-0.0031877	20.8
53	1.18585E-005	0.00181172	-0.00292852	21.2
54	7.09554E-006	0.00102496	-0.00245866	21.6
55	3.35858E-006	0.000346229	-0.00179964	22
56	1.00506E-006	-0.000175518	-0.000987042	22.4
57	2.5732E-007	-0.000502715	-6.78078E-005	22.8
58	1.18971E-006	-0.000611582	0.000903146	23.2
59	3.72846E-006	-0.000493577	0.00186677	23.6
60	7.6637E-006	-0.000155819	0.00276395	24
61	1.26717E-005	0.000379513	0.00353945	24.4
62	1.83456E-005	0.00107675	0.00414562	24.8
63	2.42306E-005	0.00188918	0.00454551	25.2
64	2.98631E-005	0.00276214	0.00471526	25.6
65	3.48069E-005	0.0036366	0.00464565	26
66	3.86881E-005	0.00445304	0.00434264	26.4
67	4.12221E-005	0.00515522	0.00382699	26.8
68	4.22343E-005	0.00569379	0.00313291	27.2
69	4.16708E-005	0.0060294	0.0023059	27.6
70	3.95998E-005	0.00613517	0.00139984	28
71	3.6204E-005	0.0059983	0.000473702	28.4
